0.57912,0.7105,5.39E+10,1962,5
0.98382,0.34563,3.04E+10,5415,4
1.7854,0.0048928,6.08E+10,20550,5
0.10206,0.27845,1.74E+10,19018,6
0.67868,1.0146,1.85E+10,36945,2
0.078413,0.60962,7.21E+10,3739,3
0.086725,0.56217,7.19E+10,7573,6
0.33334,0.8955,2.03E+10,16743,5
0.12373,0.84412,7.22E+10,49947,4
0.65634,0.94082,2.06E+10,31797,2
0.1372,0.15447,1.67E+10,20941,3
0.22472,0.85951,6.13E+10,4509,5
0.40044,0.34287,2.00E+10,13687,3
0.31851,0.93474,1.90E+10,41917,4
0.64505,1.2476,2.07E+10,14817,3
0.22434,0.62393,1.96E+10,20316,5
0.43477,0.64096,6.00E+10,18635,2
0.45989,0.088649,3.70E+10,7010,2
0.22651,0.89915,2.42E+10,38430,6
0.4901,0.025875,3.45E+11,39530,3
,,1.67E+10,,
